item_name,sale_type,category,price,notes
Guarana,can,Bottled & Canned,,Direct resale item
Black Ice,can,Bottled & Canned,,Direct resale item
Smirnoff Punch,can,Bottled & Canned,,Direct resale item
GUINNESS CAN 500ML,can,Bottled & Canned,,Direct resale item
Tusker Cider CAN 500ML,can,Bottled & Canned,,Direct resale item
TUSKER MALT CAN 500ML,can,Bottled & Canned,,Direct resale item
whitecup crisp,can,Bottled & Canned,,Direct resale item
BEST GIN 250ML,bottle,Bottles,,Direct resale spirit bottle
CAPRICE SWEET,BOTTLE,Bottles,,Direct resale item
BALOZI CAN 500ML,can,Bottled & Canned,,Direct resale item
HEINEKEN BOTTLE 330ML,bottle,Bottled & Canned,,Direct resale item
HEINEKEN CAN 500ML,can,Bottled & Canned,,Direct resale item
HUNTERS DRY 330ML,bottle,Bottled & Canned,,Direct resale item
HUNTERS GOLD 330ML,bottle,Bottled & Canned,,Direct resale item
TUSKER LAGER CAN 500ML,can,Bottled & Canned,,Direct resale item
TUSKER LITE CAN 500ML,can,Bottled & Canned,,Direct resale item
WHITE CAP CAN 500ML,can,Bottled & Canned,,Direct resale item
KO,bottle,Bottled & Canned,,Direct resale item
MANYATTA,bottle,Bottled & Canned,,Direct resale item
Savanah,bottle,Bottled & Canned,,Direct resale item
GORDON AND TONIC,can,Bottled & Canned,,Direct resale item
ORIJIN,bottle,Bottled & Canned,,Direct resale item
BEST WHYSKEY 250ML,bottle,Bottles,,Direct resale spirit bottle
BLACK AND WHITE,bottle,Bottles,,Direct resale spirit bottle
CHROME GIN 250ML,bottle,Bottles,,Direct resale spirit bottle
HUNTERS CHOICE 350ML,bottle,Bottled & Canned,,Direct resale item
KIBAO VODKA 250ML,bottle,Bottles,,Direct resale spirit bottle
CAPTAIN MORGAN GOLD 250ML,bottle,Bottles,,Direct resale spirit bottle
KONYAGI 250ML,bottle,Bottles,,Direct resale spirit bottle
SMIRNOFF VODKA 350ML,bottle,Bottles,,Direct resale spirit bottle
CC LEMON,bottle,Bottled & Canned,,Direct resale item
PREDATORS,bottle,Bottled & Canned,,Direct resale item
RED BULL,CAN,Bottled & Canned,,Direct resale item
SODA,bottle,Bottled & Canned,,Direct resale item
TONIC WATER,bottle,Bottled & Canned,,Direct resale item
BEST GIN 750 ML,bottle,Bottles,,Direct resale spirit bottle
BEST VODKA 750ML,bottle,Bottles,,Direct resale spirit bottle
