"item_name","sale_type","category","price","notes"
"BALOZI CAN 500ML","can","Bottled & Canned","","Direct resale item"
"BEST GIN 250ML","bottle","Bottles","","Full bottle sale"
"BEST GIN 30ML","30 ML","Shots","","Measured sale from 750ML source"
"BEST GIN 750ML","bottle","Bottles","","Full bottle sale"
"BEST VODKA 30ML","30 ML","Shots","","Measured sale from 750ML source"
"BEST VODKA 750ML","bottle","Bottles","","Full bottle sale"
"BEST WHISKY 250ML","bottle","Bottles","","Full bottle sale"
"BEST WHISKY 30ML","30 ML","Shots","","Measured sale from 750ML source"
"BEST WHISKY 750ML","bottle","Bottles","","Full bottle sale"
"BLACK & WHITE 1000ML","bottle","Bottles","","Full bottle sale"
"BLACK & WHITE 30ML","30 ML","Shots","","Measured sale from 750ML source"
"BLACK & WHITE 750ML","bottle","Bottles","","Full bottle sale"
"Black Ice","can","Bottled & Canned","","Direct resale item"
"BLACK LABEL 1000ML","bottle","Bottles","","Full bottle sale"
"BLACK LABEL 30ML","30 ML","Shots","","Measured sale from 1000ML source"
"CAMINO CLEAR 30ML","30 ML","Shots","","Measured sale from 750ML source"
"CAMINO CLEAR 750ML","bottle","Bottles","","Full bottle sale"
"CAPRICE SWEET","bottle","Bottled & Canned","","Direct resale item"
"CAPTAIN MORGAN GOLD 250ML","bottle","Bottles","","Full bottle sale"
"CAPTAIN MORGAN GOLD 30ML","30 ML","Shots","","Measured sale from 750ML source"
"CAPTAIN MORGAN GOLD 750ML","bottle","Bottles","","Full bottle sale"
"CAPTAIN MORGAN SPICE 30ML","30 ML","Shots","","Measured sale from 750ML source"
"CAPTAIN MORGAN SPICE 750ML","bottle","Bottles","","Full bottle sale"
"CC LEMON","bottle","Bottled & Canned","","Direct resale item"
"CHROME GIN 250ML","bottle","Bottles","","Full bottle sale"
"COUNTY 30ML","30 ML","Shots","","Measured sale from 750ML source"
"COUNTY 750ML","bottle","Bottles","","Full bottle sale"
"GILBEYS GIN 30ML","30 ML","Shots","","Measured sale from 750ML source"
"GILBEYS GIN 750ML","bottle","Bottles","","Full bottle sale"
"GORDON AND TONIC","can","Bottled & Canned","","Direct resale item"
"GORDON'S GIN 1000ML","bottle","Bottles","","Full bottle sale"
