item_name,category,price,notes
Tusker Bottle,Bottled & Canned,,Direct resale item
White Cap Bottle,Bottled & Canned,,Direct resale item
Guinness Can,Bottled & Canned,,Direct resale item
Smirnoff Ice Bottle,Bottled & Canned,,Direct resale item
Soda Bottle,Bottled & Canned,,Direct resale item
Water Bottle,Bottled & Canned,,Direct resale item
Tonic Water Bottle,Bottled & Canned,,Direct resale item or mixer sale
Red Bull Can,Bottled & Canned,,Direct resale item
Vodka Bottle,Bottles,,Recipe-based full-bottle spirit sale
Gin Bottle,Bottles,,Recipe-based full-bottle spirit sale
Whisky Bottle,Bottles,,Recipe-based full-bottle spirit sale
Tequila Bottle,Bottles,,Recipe-based full-bottle spirit sale
Brandy Bottle,Bottles,,Recipe-based full-bottle spirit sale
Vodka Shot,Shots,,Recipe-based poured item
Gin Shot,Shots,,Recipe-based poured item
Whisky Shot,Shots,,Recipe-based poured item
Tequila Shot,Shots,,Recipe-based poured item
Vodka Double,Shots,,Recipe-based poured item
Gin Double,Shots,,Recipe-based poured item
Whisky Double,Shots,,Recipe-based poured item
Tequila Double,Shots,,Recipe-based poured item
Brandy Glass,Glasses,,Recipe-based poured item
Whisky Glass,Glasses,,Recipe-based poured item
Gin Glass,Glasses,,Recipe-based poured item
Vodka Glass,Glasses,,Recipe-based poured item
Gin Tonic,Cocktails,,Minimal cocktail set
Vodka Soda,Cocktails,,Minimal cocktail set
Rum Coke,Cocktails,,Minimal cocktail set
