item_name,sale_type,category,price,notes
Guarana,can,Bottled & Canned,,Direct resale item
Black Ice,can,Bottled & Canned,,Direct resale item
Smirnoff Punch,can,Bottled & Canned,,Direct resale item
GUINNESS CAN 500ML,can,Bottled & Canned,,Direct resale item
TUSKER CIDER CAN 500ML,can,Bottled & Canned,,Direct resale item
TUSKER MALT CAN 500ML,can,Bottled & Canned,,Direct resale item
WHITECUP CRISP,can,Bottled & Canned,,Direct resale item
CAPRICE SWEET,bottle,Bottled & Canned,,Direct resale item
BALOZI CAN 500ML,can,Bottled & Canned,,Direct resale item
HEINEKEN BOTTLE 330ML,bottle,Bottled & Canned,,Direct resale item
HEINEKEN CAN 500ML,can,Bottled & Canned,,Direct resale item
HUNTERS DRY 330ML,bottle,Bottled & Canned,,Direct resale item
HUNTERS GOLD 330ML,bottle,Bottled & Canned,,Direct resale item
TUSKER LAGER CAN 500ML,can,Bottled & Canned,,Direct resale item
TUSKER LITE CAN 500ML,can,Bottled & Canned,,Direct resale item
WHITE CAP CAN 500ML,can,Bottled & Canned,,Direct resale item
KO,bottle,Bottled & Canned,,Direct resale item
MANYATTA,bottle,Bottled & Canned,,Direct resale item
SAVANAH,bottle,Bottled & Canned,,Direct resale item
GORDON AND TONIC,can,Bottled & Canned,,Direct resale item
ORIJIN,bottle,Bottled & Canned,,Direct resale item
HUNTERS CHOICE 350ML,bottle,Bottled & Canned,,Direct resale item
CC LEMON,bottle,Bottled & Canned,,Direct resale item
PREDATORS,bottle,Bottled & Canned,,Direct resale item
RED BULL,can,Bottled & Canned,,Direct resale item
SODA,bottle,Bottled & Canned,,Direct resale item
TONIC WATER,bottle,Bottled & Canned,,Direct resale item
RED DRY WINE 150ML,150 ML,Wines,,Measured wine sale from 750ML bottle
RED SWEET WINE 150ML,150 ML,Wines,,Measured wine sale from 750ML bottle
WHITE DRY WINE 150ML,150 ML,Wines,,Measured wine sale from 750ML bottle
WHITE SWEET WINE 150ML,150 ML,Wines,,Measured wine sale from 750ML bottle
