item_code,name,buy_unit,store_unit,conversion_factor,price,restaurant_id
BAR-GUAR,Guarana,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BLKI,Black Ice,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SPUN,Smirnoff Punch,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-GUIN,GUINNESS CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TCID,TUSKER CIDER CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TMAL,TUSKER MALT CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WCRP,WHITECUP CRISP,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CAPS,CAPRICE SWEET,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BALO,BALOZI CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HB33,HEINEKEN BOTTLE 330ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HC50,HEINEKEN CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HD33,HUNTERS DRY 330ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HG33,HUNTERS GOLD 330ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TLAG,TUSKER LAGER CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TLIT,TUSKER LITE CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WCAP,WHITE CAP CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-KO,KO,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-MANY,MANYATTA,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SAVA,SAVANAH,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-GTON,GORDON AND TONIC,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-ORIJ,ORIJIN,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HC35,HUNTERS CHOICE 350ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CCLM,CC LEMON,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-PRED,PREDATORS,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-RDBL,RED BULL,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SODA,SODA,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TONW,TONIC WATER,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-RDWB,RED DRY WINE BOTTLE 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-RSWB,RED SWEET WINE BOTTLE 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WDWB,WHITE DRY WINE BOTTLE 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WSWB,WHITE SWEET WINE BOTTLE 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
