item_code,name,buy_unit,store_unit,conversion_factor,price,restaurant_id
BAR-GUAR,Guarana,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BLKI,Black Ice,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SPUN,Smirnoff Punch,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-GUIN,GUINNESS CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TCID,Tusker Cider CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TMAL,TUSKER MALT CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WCRP,whitecup crisp,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BG25,BEST GIN 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CAPS,CAPRICE SWEET,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BALO,BALOZI CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HB33,HEINEKEN BOTTLE 330ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HC50,HEINEKEN CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HD33,HUNTERS DRY 330ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HG33,HUNTERS GOLD 330ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TLAG,TUSKER LAGER CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TLIT,TUSKER LITE CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-WCAP,WHITE CAP CAN 500ML,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-KO,KO,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-MANY,MANYATTA,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SAVA,Savanah,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-GTON,GORDON AND TONIC,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-ORIJ,ORIJIN,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BW25,BEST WHYSKEY 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BAW,BLACK AND WHITE,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CG25,CHROME GIN 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-HC35,HUNTERS CHOICE 350ML,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-KV25,KIBAO VODKA 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CM25,CAPTAIN MORGAN GOLD 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-KO25,KONYAGI 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SV35,SMIRNOFF VODKA 350ML,Bottle,ML,350,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CCLM,CC LEMON,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-PRED,PREDATORS,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-RDBL,RED BULL,Can,Can,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-SODA,SODA,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-TONW,TONIC WATER,Bottle,Bottle,1,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BG75,BEST GIN 750 ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BV75,BEST VODKA 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BW75,Best Whiskey 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BW10,Black & White 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BW7A,Black & White 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-BL10,Black Label 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CC75,CAMINO CLEAR 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CMG7,Captain Morgan Gold,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CMS7,Captain Morgan Spice,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-CNTY,COUNTY 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-GL75,Gilbeys 750,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-GD1L,Gordon 1L,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
BAR-GG75,Gordons gin 750,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
