finished_item_name,material_name,qty_per_unit,notes
BEST GIN 250ML,BEST GIN 250ML,250,Full bottle sale in ML
BEST WHYSKEY 250ML,BEST WHYSKEY 250ML,250,Full bottle sale in ML
CHROME GIN 250ML,CHROME GIN 250ML,250,Full bottle sale in ML
KIBAO VODKA 250ML,KIBAO VODKA 250ML,250,Full bottle sale in ML
CAPTAIN MORGAN GOLD 250ML,CAPTAIN MORGAN GOLD 250ML,250,Full bottle sale in ML
KONYAGI 250ML,KONYAGI 250ML,250,Full bottle sale in ML
SMIRNOFF VODKA 350ML,SMIRNOFF VODKA 350ML,350,Full bottle sale in ML
BEST GIN 750 ML,BEST GIN 750 ML,750,Full bottle sale in ML
BEST VODKA 750ML,BEST VODKA 750ML,750,Full bottle sale in ML
Best Whiskey 750ML,Best Whiskey 750ML,750,Full bottle sale in ML
Black & White 1000ML,Black & White 1000ML,1000,Full bottle sale in ML
Black & White 750ML,Black & White 750ML,750,Full bottle sale in ML
Black Label 1000ML,Black Label 1000ML,1000,Full bottle sale in ML
CAMINO CLEAR 750ML,CAMINO CLEAR 750ML,750,Full bottle sale in ML
Captain Morgan Gold,Captain Morgan Gold,750,Assumed bottle size in ML
Captain Morgan Spice,Captain Morgan Spice,750,Assumed bottle size in ML
COUNTY 750ML,COUNTY 750ML,750,Full bottle sale in ML
Gilbeys 750,Gilbeys 750,750,Full bottle sale in ML
Gordon 1L,Gordon 1L,1000,Full bottle sale in ML
Gordons gin 750,Gordons gin 750,750,Full bottle sale in ML
Hennesey 1000ML,Hennesey 1000ML,1000,Full bottle sale in ML
Humpton,Humpton,750,Assumed bottle size in ML
JACK DANIELS 1000ML,JACK DANIELS 1000ML,1000,Full bottle sale in ML
JACK DANIELS 700ML,JACK DANIELS 700ML,700,Full bottle sale in ML
Jagermefter,Jagermefter,750,Assumed bottle size in ML
Jagermefter 750 ml,Jagermefter 750 ml,750,Full bottle sale in ML
JAMESON 1000ML,JAMESON 1000ML,1000,Full bottle sale in ML
JOHN BARR,JOHN BARR,750,Assumed bottle size in ML
Jose Q Gold 1000ML,Jose Q Gold 1000ML,1000,Full bottle sale in ML
Jose Q Gold 750ML,Jose Q Gold 750ML,750,Full bottle sale in ML
Jose Q silver,Jose Q silver,750,Assumed bottle size in ML
KENYA CANE SMOOTH 750ML,KENYA CANE SMOOTH 750ML,750,Full bottle sale in ML
Konyagi 750ML,Konyagi 750ML,750,Full bottle sale in ML
Malibu,Malibu,750,Assumed bottle size in ML
Martell,Martell,750,Assumed bottle size in ML
Red Label 1l,Red Label 1l,1000,Full bottle sale in ML
Smirnorf 750,Smirnorf 750,750,Full bottle sale in ML
SMIRNORF VODKA 1000ML,SMIRNORF VODKA 1000ML,1000,Full bottle sale in ML
TANQUAERAY 1L,TANQUAERAY 1L,1000,Full bottle sale in ML
BEST GIN,BEST GIN 750 ML,30,Measured sale in ML
BEST VODKA,BEST VODKA 750ML,30,Measured sale in ML
Best Whiskey,Best Whiskey 750ML,30,Measured sale in ML
Black & White,Black & White 750ML,30,Measured sale in ML
Black Label,Black Label 1000ML,30,Measured sale in ML
CAMINO CLEAR,CAMINO CLEAR 750ML,30,Measured sale in ML
Captain Morgan Gold,Captain Morgan Gold,30,Measured sale in ML
Captain Morgan Spice,Captain Morgan Spice,30,Measured sale in ML
COUNTY,COUNTY 750ML,30,Measured sale in ML
Gilbeys GIN,Gilbeys 750,30,Measured sale in ML
Gordons gin 750,Gordons gin 750,30,Measured sale in ML
JACK DANIELS,JACK DANIELS 700ML,30,Measured sale in ML
Jagermefter,Jagermefter 750 ml,30,Measured sale in ML
JAMESON,JAMESON 1000ML,30,Measured sale in ML
JOHN BARR,JOHN BARR,30,Measured sale in ML
Jose Q Gold,Jose Q Gold 750ML,30,Measured sale in ML
Jose Q silver,Jose Q silver,30,Measured sale in ML
KENYA CANE SMOOTH,KENYA CANE SMOOTH 750ML,30,Measured sale in ML
Konyagi,Konyagi 750ML,30,Measured sale in ML
Malibu,Malibu,30,Measured sale in ML
Martell,Martell,30,Measured sale in ML
Red Label WHYSKEY,Red Label 1l,30,Measured sale in ML
sheridans,sheridans,30,Measured sale in ML
SMIRNORF VODKA,SMIRNORF VODKA 1000ML,30,Measured sale in ML
TANQUAERAY,TANQUAERAY 1L,30,Measured sale in ML
Red Dry Wine,Red Dry Wine Bottle,150,Measured wine sale in ML
Red Sweet wine,Red Sweet Wine Bottle,150,Measured wine sale in ML
WHITE DRY Wine,White Dry Wine Bottle,150,Measured wine sale in ML
WHITE SWEET WINE,White Sweet Wine Bottle,150,Measured wine sale in ML
