item_name,sale_type,category,price,notes
BEST GIN 250ML,bottle,Bottles,,Full bottle sale
BEST GIN 750ML,bottle,Bottles,,Full bottle sale
BEST GIN 30ML,30 ML,Shots,,Measured sale from 750ML source
BEST VODKA 750ML,bottle,Bottles,,Full bottle sale
BEST VODKA 30ML,30 ML,Shots,,Measured sale from 750ML source
BEST WHISKY 250ML,bottle,Bottles,,Full bottle sale
BEST WHISKY 750ML,bottle,Bottles,,Full bottle sale
BEST WHISKY 30ML,30 ML,Shots,,Measured sale from 750ML source
BLACK & WHITE 750ML,bottle,Bottles,,Full bottle sale
BLACK & WHITE 1000ML,bottle,Bottles,,Full bottle sale
BLACK & WHITE 30ML,30 ML,Shots,,Measured sale from 750ML source
BLACK LABEL 1000ML,bottle,Bottles,,Full bottle sale
BLACK LABEL 30ML,30 ML,Shots,,Measured sale from 1000ML source
CHROME GIN 250ML,bottle,Bottles,,Full bottle sale
KIBAO VODKA 250ML,bottle,Bottles,,Full bottle sale
CAPTAIN MORGAN GOLD 250ML,bottle,Bottles,,Full bottle sale
CAPTAIN MORGAN GOLD 750ML,bottle,Bottles,,Full bottle sale
CAPTAIN MORGAN GOLD 30ML,30 ML,Shots,,Measured sale from 750ML source
CAPTAIN MORGAN SPICE 750ML,bottle,Bottles,,Full bottle sale
CAPTAIN MORGAN SPICE 30ML,30 ML,Shots,,Measured sale from 750ML source
KONYAGI 250ML,bottle,Bottles,,Full bottle sale
KONYAGI 750ML,bottle,Bottles,,Full bottle sale
KONYAGI 30ML,30 ML,Shots,,Measured sale from 750ML source
SMIRNOFF VODKA 350ML,bottle,Bottles,,Full bottle sale
SMIRNOFF VODKA 750ML,bottle,Bottles,,Full bottle sale
SMIRNOFF VODKA 1000ML,bottle,Bottles,,Full bottle sale
SMIRNOFF VODKA 30ML,30 ML,Shots,,Measured sale from 750ML source
CAMINO CLEAR 750ML,bottle,Bottles,,Full bottle sale
CAMINO CLEAR 30ML,30 ML,Shots,,Measured sale from 750ML source
COUNTY 750ML,bottle,Bottles,,Full bottle sale
COUNTY 30ML,30 ML,Shots,,Measured sale from 750ML source
GILBEYS GIN 750ML,bottle,Bottles,,Full bottle sale
GILBEYS GIN 30ML,30 ML,Shots,,Measured sale from 750ML source
GORDON'S GIN 750ML,bottle,Bottles,,Full bottle sale
GORDON'S GIN 1000ML,bottle,Bottles,,Full bottle sale
GORDON'S GIN 30ML,30 ML,Shots,,Measured sale from 750ML source
HENNESSY 1000ML,bottle,Bottles,,Full bottle sale
HUMPTON 750ML,bottle,Bottles,,Full bottle sale
HUNTERS CHOICE 750ML,bottle,Bottles,,Full bottle sale
HUNTERS CHOICE 30ML,30 ML,Shots,,Measured sale from 750ML source
JACK DANIELS 700ML,bottle,Bottles,,Full bottle sale
JACK DANIELS 1000ML,bottle,Bottles,,Full bottle sale
JACK DANIELS 30ML,30 ML,Shots,,Measured sale from 700ML source
JAGERMEISTER 750ML,bottle,Bottles,,Full bottle sale
JAGERMEISTER 30ML,30 ML,Shots,,Measured sale from 750ML source
JAMESON 1000ML,bottle,Bottles,,Full bottle sale
JAMESON 30ML,30 ML,Shots,,Measured sale from 1000ML source
JOHN BARR 750ML,bottle,Bottles,,Full bottle sale
JOHN BARR 30ML,30 ML,Shots,,Measured sale from 750ML source
JOSE CUERVO GOLD 750ML,bottle,Bottles,,Full bottle sale
JOSE CUERVO GOLD 1000ML,bottle,Bottles,,Full bottle sale
JOSE CUERVO GOLD 30ML,30 ML,Shots,,Measured sale from 750ML source
JOSE CUERVO SILVER 750ML,bottle,Bottles,,Full bottle sale
JOSE CUERVO SILVER 30ML,30 ML,Shots,,Measured sale from 750ML source
KENYA CANE SMOOTH 750ML,bottle,Bottles,,Full bottle sale
KENYA CANE SMOOTH 30ML,30 ML,Shots,,Measured sale from 750ML source
MALIBU 750ML,bottle,Bottles,,Full bottle sale
MALIBU 30ML,30 ML,Shots,,Measured sale from 750ML source
MARTELL 750ML,bottle,Bottles,,Full bottle sale
MARTELL 30ML,30 ML,Shots,,Measured sale from 750ML source
RED LABEL 1000ML,bottle,Bottles,,Full bottle sale
RED LABEL 30ML,30 ML,Shots,,Measured sale from 1000ML source
SHERIDAN'S 750ML,bottle,Bottles,,Full bottle sale
SHERIDAN'S 30ML,30 ML,Shots,,Measured sale from 750ML source
TANQUERAY 1000ML,bottle,Bottles,,Full bottle sale
TANQUERAY 30ML,30 ML,Shots,,Measured sale from 1000ML source
