finished_item_name,material_name,qty_per_unit,notes
BEST GIN 250ML,BEST GIN 250ML,250,Full bottle sale in ML
BEST GIN 750ML,BEST GIN 750ML,750,Full bottle sale in ML
BEST GIN 30ML,BEST GIN 750ML,30,Measured sale from 750ML source
BEST VODKA 750ML,BEST VODKA 750ML,750,Full bottle sale in ML
BEST VODKA 30ML,BEST VODKA 750ML,30,Measured sale from 750ML source
BEST WHISKY 250ML,BEST WHISKY 250ML,250,Full bottle sale in ML
BEST WHISKY 750ML,BEST WHISKY 750ML,750,Full bottle sale in ML
BEST WHISKY 30ML,BEST WHISKY 750ML,30,Measured sale from 750ML source
BLACK & WHITE 750ML,BLACK & WHITE 750ML,750,Full bottle sale in ML
BLACK & WHITE 1000ML,BLACK & WHITE 1000ML,1000,Full bottle sale in ML
BLACK & WHITE 30ML,BLACK & WHITE 750ML,30,Measured sale from 750ML source
BLACK LABEL 1000ML,BLACK LABEL 1000ML,1000,Full bottle sale in ML
BLACK LABEL 30ML,BLACK LABEL 1000ML,30,Measured sale from 1000ML source
CHROME GIN 250ML,CHROME GIN 250ML,250,Full bottle sale in ML
KIBAO VODKA 250ML,KIBAO VODKA 250ML,250,Full bottle sale in ML
CAPTAIN MORGAN GOLD 250ML,CAPTAIN MORGAN GOLD 250ML,250,Full bottle sale in ML
CAPTAIN MORGAN GOLD 750ML,CAPTAIN MORGAN GOLD 750ML,750,Full bottle sale in ML
CAPTAIN MORGAN GOLD 30ML,CAPTAIN MORGAN GOLD 750ML,30,Measured sale from 750ML source
CAPTAIN MORGAN SPICE 750ML,CAPTAIN MORGAN SPICE 750ML,750,Full bottle sale in ML
CAPTAIN MORGAN SPICE 30ML,CAPTAIN MORGAN SPICE 750ML,30,Measured sale from 750ML source
KONYAGI 250ML,KONYAGI 250ML,250,Full bottle sale in ML
KONYAGI 750ML,KONYAGI 750ML,750,Full bottle sale in ML
KONYAGI 30ML,KONYAGI 750ML,30,Measured sale from 750ML source
SMIRNOFF VODKA 350ML,SMIRNOFF VODKA 350ML,350,Full bottle sale in ML
SMIRNOFF VODKA 750ML,SMIRNOFF VODKA 750ML,750,Full bottle sale in ML
SMIRNOFF VODKA 1000ML,SMIRNOFF VODKA 1000ML,1000,Full bottle sale in ML
SMIRNOFF VODKA 30ML,SMIRNOFF VODKA 750ML,30,Measured sale from 750ML source
CAMINO CLEAR 750ML,CAMINO CLEAR 750ML,750,Full bottle sale in ML
CAMINO CLEAR 30ML,CAMINO CLEAR 750ML,30,Measured sale from 750ML source
COUNTY 750ML,COUNTY 750ML,750,Full bottle sale in ML
COUNTY 30ML,COUNTY 750ML,30,Measured sale from 750ML source
GILBEYS GIN 750ML,GILBEYS GIN 750ML,750,Full bottle sale in ML
GILBEYS GIN 30ML,GILBEYS GIN 750ML,30,Measured sale from 750ML source
GORDON'S GIN 750ML,GORDON'S GIN 750ML,750,Full bottle sale in ML
GORDON'S GIN 1000ML,GORDON'S GIN 1000ML,1000,Full bottle sale in ML
GORDON'S GIN 30ML,GORDON'S GIN 750ML,30,Measured sale from 750ML source
HENNESSY 1000ML,HENNESSY 1000ML,1000,Full bottle sale in ML
HUMPTON 750ML,HUMPTON 750ML,750,Full bottle sale in ML
HUNTERS CHOICE 750ML,HUNTERS CHOICE 750ML,750,Full bottle sale in ML
HUNTERS CHOICE 30ML,HUNTERS CHOICE 750ML,30,Measured sale from 750ML source
JACK DANIELS 700ML,JACK DANIELS 700ML,700,Full bottle sale in ML
JACK DANIELS 1000ML,JACK DANIELS 1000ML,1000,Full bottle sale in ML
JACK DANIELS 30ML,JACK DANIELS 700ML,30,Measured sale from 700ML source
JAGERMEISTER 750ML,JAGERMEISTER 750ML,750,Full bottle sale in ML
JAGERMEISTER 30ML,JAGERMEISTER 750ML,30,Measured sale from 750ML source
JAMESON 1000ML,JAMESON 1000ML,1000,Full bottle sale in ML
JAMESON 30ML,JAMESON 1000ML,30,Measured sale from 1000ML source
JOHN BARR 750ML,JOHN BARR 750ML,750,Full bottle sale in ML
JOHN BARR 30ML,JOHN BARR 750ML,30,Measured sale from 750ML source
JOSE CUERVO GOLD 750ML,JOSE CUERVO GOLD 750ML,750,Full bottle sale in ML
JOSE CUERVO GOLD 1000ML,JOSE CUERVO GOLD 1000ML,1000,Full bottle sale in ML
JOSE CUERVO GOLD 30ML,JOSE CUERVO GOLD 750ML,30,Measured sale from 750ML source
JOSE CUERVO SILVER 750ML,JOSE CUERVO SILVER 750ML,750,Full bottle sale in ML
JOSE CUERVO SILVER 30ML,JOSE CUERVO SILVER 750ML,30,Measured sale from 750ML source
KENYA CANE SMOOTH 750ML,KENYA CANE SMOOTH 750ML,750,Full bottle sale in ML
KENYA CANE SMOOTH 30ML,KENYA CANE SMOOTH 750ML,30,Measured sale from 750ML source
MALIBU 750ML,MALIBU 750ML,750,Full bottle sale in ML
MALIBU 30ML,MALIBU 750ML,30,Measured sale from 750ML source
MARTELL 750ML,MARTELL 750ML,750,Full bottle sale in ML
MARTELL 30ML,MARTELL 750ML,30,Measured sale from 750ML source
RED LABEL 1000ML,RED LABEL 1000ML,1000,Full bottle sale in ML
RED LABEL 30ML,RED LABEL 1000ML,30,Measured sale from 1000ML source
SHERIDAN'S 750ML,SHERIDAN'S 750ML,750,Full bottle sale in ML
SHERIDAN'S 30ML,SHERIDAN'S 750ML,30,Measured sale from 750ML source
TANQUERAY 1000ML,TANQUERAY 1000ML,1000,Full bottle sale in ML
TANQUERAY 30ML,TANQUERAY 1000ML,30,Measured sale from 1000ML source
