item_code,name,buy_unit,store_unit,conversion_factor,price,restaurant_id
SP-BG25,BEST GIN 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-BG75,BEST GIN 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-BV75,BEST VODKA 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-BW25,BEST WHISKY 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-BW75,BEST WHISKY 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-BAW75,BLACK & WHITE 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-BAW10,BLACK & WHITE 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-BL10,BLACK LABEL 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-CG25,CHROME GIN 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-KV25,KIBAO VODKA 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-CMG25,CAPTAIN MORGAN GOLD 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-CMG75,CAPTAIN MORGAN GOLD 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-CMS75,CAPTAIN MORGAN SPICE 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-KO25,KONYAGI 250ML,Bottle,ML,250,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-KO75,KONYAGI 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-SV35,SMIRNOFF VODKA 350ML,Bottle,ML,350,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-SV75,SMIRNOFF VODKA 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-SV10,SMIRNOFF VODKA 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-CC75,CAMINO CLEAR 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-CNTY,COUNTY 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-GB75,GILBEYS GIN 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-GD75,GORDON'S GIN 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-GD10,GORDON'S GIN 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-HEN1,HENNESSY 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-HUMP,HUMPTON 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-HC75,HUNTERS CHOICE 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JD70,JACK DANIELS 700ML,Bottle,ML,700,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JD10,JACK DANIELS 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JG75,JAGERMEISTER 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JM10,JAMESON 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JB75,JOHN BARR 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JQG75,JOSE CUERVO GOLD 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JQG10,JOSE CUERVO GOLD 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-JQS75,JOSE CUERVO SILVER 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-KC75,KENYA CANE SMOOTH 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-MALI,MALIBU 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-MART,MARTELL 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-RDL1,RED LABEL 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-SHER,SHERIDAN'S 750ML,Bottle,ML,750,0,16733ca1-018f-4d29-8502-909e4b23b6ec
SP-TQ10,TANQUERAY 1000ML,Bottle,ML,1000,0,16733ca1-018f-4d29-8502-909e4b23b6ec
